index,FECHA,TMAX,TMIN,NOMBRE
1,2025-05-16 00:00:00,22,19,AEROPARQUE AERO
2,2025-05-16 00:00:00,20.5,17.2,AZUL AERO
3,2025-05-16 00:00:00,22.1,7.4,BAHIA BLANCA AERO
4,2025-05-16 00:00:00,13.4,5.1,BARILOCHE AERO
5,2025-05-16 00:00:00,-13.4,-19.1,BASE BELGRANO II
6,2025-05-16 00:00:00,-5,-6.9,BASE CARLINI (EX JUBANY)
7,2025-05-16 00:00:00,-11,-12.8,BASE ESPERANZA
8,2025-05-16 00:00:00,-16.3,-18.3,BASE MARAMBIO
9,2025-05-16 00:00:00,-0.4,-6.5,BASE ORCADAS
10,2025-05-16 00:00:00,-2.4,-7.8,BASE SAN MARTIN
11,2025-05-16 00:00:00,21.4,15.2,BENITO JUAREZ
12,2025-05-16 00:00:00,23.5,15.6,BERNARDO DE IRIGOYEN AERO
13,2025-05-16 00:00:00,22.5,18.4,BOLIVAR AERO
14,2025-05-16 00:00:00,23.2,19,BUENOS AIRES OBSERVATORIO
15,2025-05-16 00:00:00,20,16.8,CAMPO DE MAYO AERO
16,2025-05-16 00:00:00,28.5,17.9,CATAMARCA AERO
17,2025-05-16 00:00:00,33.3,21.2,CERES AERO
18,2025-05-16 00:00:00,18.3,NaN,AERO
19,2025-05-16 00:00:00,15,5,CHAPELCO AERO
20,2025-05-16 00:00:00,26.5,18.1,CHEPES
21,2025-05-16 00:00:00,24,14.3,CHILECITO AERO
22,2025-05-16 00:00:00,12.2,4.2,COMODORO RIVADAVIA AERO
23,2025-05-16 00:00:00,26.5,18.2,CONCORDIA AERO
24,2025-05-16 00:00:00,27.4,18.5,CORDOBA AERO
25,2025-05-16 00:00:00,26.8,20.9,CORDOBA OBSERVATORIO
26,2025-05-16 00:00:00,18.7,10.5,CORONEL SUAREZ AERO
27,2025-05-16 00:00:00,28.9,19.1,CORRIENTES AERO
28,2025-05-16 00:00:00,20.8,17.4,DOLORES AERO
29,2025-05-16 00:00:00,14.4,8.6,EL BOLSON AERO
30,2025-05-16 00:00:00,7.4,-2.6,EL CALAFATE AERO
31,2025-05-16 00:00:00,23.6,18,EL PALOMAR AERO
32,2025-05-16 00:00:00,18.5,NaN,DE AVIACION MILITAR AERO
33,2025-05-16 00:00:00,13.7,4.5,ESQUEL AERO
34,2025-05-16 00:00:00,22.6,18.4,EZEIZA AERO
35,2025-05-16 00:00:00,30.6,17.3,FORMOSA AERO
36,2025-05-16 00:00:00,21,15.3,GENERAL PICO AERO
37,2025-05-16 00:00:00,9,0,GOBERNADOR GREGORES AERO
38,2025-05-16 00:00:00,28.5,18.8,GUALEGUAYCHU AERO
39,2025-05-16 00:00:00,27.2,13.9,IGUAZU AERO
40,2025-05-16 00:00:00,27.8,17,ITUZAINGO
41,2025-05-16 00:00:00,23,4.5,JACHAL
42,2025-05-16 00:00:00,24.5,17.6,JUJUY AERO
43,2025-05-16 00:00:00,24.1,15,JUJUY U N
44,2025-05-16 00:00:00,21.7,18.6,JUNIN AERO
45,2025-05-16 00:00:00,22.3,17.5,LA PLATA AERO
46,2025-05-16 00:00:00,22.8,-0.5,LA QUIACA OBSERVATORIO
47,2025-05-16 00:00:00,27.3,16.2,LA RIOJA AERO
48,2025-05-16 00:00:00,26.1,17.4,LABOULAYE AERO
49,2025-05-16 00:00:00,21,18,LAS FLORES
50,2025-05-16 00:00:00,31,20.4,LAS LOMITAS
51,2025-05-16 00:00:00,20,5,MALARGUE AERO
52,2025-05-16 00:00:00,15.6,5,MAQUINCHAO
53,2025-05-16 00:00:00,21.4,16.9,MAR DEL PLATA AERO
54,2025-05-16 00:00:00,25.5,19.1,MARCOS JUAREZ AERO
