     FECHATMAX TMIN  NOMBRE                    
  16052025   22    19AEROPARQUE AERO           
  16052026 20.5  17.2AZUL AERO                 
  16052027 22.1   7.4BAHIA BLANCA AERO         
  16052028 13.4   5.1BARILOCHE AERO            
  16052029-13.4 ###  BASE BELGRANO II          
  16052030   -5  -6.9BASE CARLINI (EX JUBANY)  
  16052031  -11 ###  BASE ESPERANZA            
  16052032-16.3 ###  BASE MARAMBIO             
  16052033 -0.4  -6.5BASE ORCADAS              
  16052034 -2.4  -7.8BASE SAN MARTIN           
  16052035 21.4  15.2BENITO JUAREZ             
  16052036 23.5  15.6BERNARDO DE IRIGOYEN AER  
  16052037 22.5  18.4BOLIVAR AERO              
  16052038 23.2    19BUENOS AIRES OBSERVATORI  
  16052039   20  16.8CAMPO DE MAYO AERO        
  16052040 28.5  17.9CATAMARCA AERO            
  16052041 33.3  21.2CERES AERO                
  16052042NA     18.3CHAMICAL AERO             
  16052043   15     5CHAPELCO AERO             
  16052044 26.5  18.1CHEPES                    
  16052025   24  14.3CHILECITO AERO            
  16052025 12.2   4.2COMODORO RIVADAVIA AERO   
  16052025 26.5  18.2CONCORDIA AERO            
  16052025 27.4  18.5CORDOBA AERO              
  16052025 26.8  20.9CORDOBA OBSERVATORIO      
  16052025 18.7  10.5CORONEL SUAREZ AERO       
  16052025 28.9  19.1CORRIENTES AERO           
  16052025 20.8  17.4DOLORES AERO              
  16052025 14.4   8.6EL BOLSON AERO            
  16052025  7.4  -2.6EL CALAFATE AERO          
  16052025 23.6    18EL PALOMAR AERO           
  16052025NA     18.5ESCUELA DE AVIACION MILI  
  16052025 13.7   4.5ESQUEL AERO               
  16052025 22.6  18.4EZEIZA AERO               
  16052025 30.6  17.3FORMOSA AERO              
  16052025   21  15.3GENERAL PICO AERO         
  16052025    9     0GOBERNADOR GREGORES AERO  
  16052025 28.5  18.8GUALEGUAYCHU AERO         
  16052025 27.2  13.9IGUAZU AERO               
  16052025 27.8    17ITUZAINGO                 
  16052025   23   4.5JACHAL                    
  16052025 24.5  17.6JUJUY AERO                
  16052025 24.1    15JUJUY U N                 
  16052025 21.7  18.6JUNIN AERO                
  16052025 22.3  17.5LA PLATA AERO             
  16052025 22.8  -0.5LA QUIACA OBSERVATORIO    
  16052025 27.3  16.2LA RIOJA AERO             
  16052025 26.1  17.4LABOULAYE AERO            
  16052025   21    18LAS FLORES                
  16052025   31  20.4LAS LOMITAS               
  16052025   20     5MALARGUE AERO             
  16052025 15.6     5MAQUINCHAO                
  16052025 21.4  16.9MAR DEL PLATA AERO        
  16052025 25.5  19.1MARCOS JUAREZ AERO        
  16052025NA     17.5MARIANO MORENO AERO       
  16052025 25.5    12MENDOZA AERO              
  16052025NA       12MENDOZA OBSERVATORIO      
  16052025 27.8  17.2MERCEDES AERO (CTES)      
  16052025NA       18MERLO AERO                
  16052025 24.4    18METAN                     
  16052025 26.4  16.9MONTE CASEROS AERO        
  16052025   24  18.2MORON AERO                
  16052025 22.7   3.5NEUQUEN AERO              
  16052025 20.7  18.8NUEVE DE JULIO            
  16052025   29    15OBERA                     
  16052025 20.4  17.6OLAVARRIA AERO            
  16052025 25.8    19ORAN AERO                 
  16052025   26  20.6PARANA AERO               
  16052025 15.2   6.3PASO DE INDIOS            
  16052025 26.3  16.4PASO DE LOS LIBRES AERO   
  16052025 21.6  18.6PEHUAJO AERO              
  16052025  7.1   0.3PERITO MORENO AERO        
  16052025 20.4  10.3PIGUE AERO                
  16052025 26.7  20.5PILAR OBSERVATORIO        
  16052025 27.8  17.1POSADAS AERO              
        NANA     NA  NA                        
  16052025 11.1     2PUERTO DESEADO AERO       
  16052025 19.5   9.6PUERTO MADRYN AERO        
  16052025 21.2    18PUNTA INDIO B.A.          
  16052025   27    21RAFAELA AERO              
  16052025 27.5  19.9RECONQUISTA AERO          
  16052025 29.9  18.1RESISTENCIA AERO          
  16052025 25.7  16.7RIO CUARTO AERO           
  16052025  7.4  -1.2RIO GALLEGOS AERO         
  16052025  6.6  -2.8RIO GRANDE B.A.           
  16052025   32  21.8RIVADAVIA                 
  16052025 24.6  21.2ROSARIO AERO              
  16052025 23.5    15SALTA AERO                
  16052025 22.9   3.6SAN ANTONIO OESTE AERO    
  16052025 22.2  18.4SAN FERNANDO AERO         
  16052025 26.4   8.3SAN JUAN AERO             
  16052025   10   1.9SAN JULIAN AERO           
  16052025 24.6  17.4SAN LUIS AERO             
  16052025 25.9    11SAN MARTIN (MZA)          
  16052025 26.6   9.3SAN RAFAEL AERO           
  16052025    9   0.5SANTA CRUZ AERO           
  16052025 18.4  10.8SANTA ROSA AERO           
  16052025 25.8  16.2SANTA ROSA DE CONLARA AE  
  16052025 30.6  22.4SANTIAGO DEL ESTERO AERO  
  16052025   27  21.1SAUCE VIEJO AERO          
  16052025 27.5  21.3SUNCHALES AERO            
  16052025 21.4  15.2TANDIL AERO               
  16052025 28.8  18.2TARTAGAL AERO             
  16052025   27  19.5TERMAS DE RIO HONDO AERO  
  16052025 24.5  11.5TINOGASTA                 
  16052025   21   9.4TRELEW AERO               
  16052025 20.9  17.6TRENQUE LAUQUEN           
  16052025 23.8  17.1TRES ARROYOS              
  16052025 27.4  17.8TUCUMAN AERO              
  16052025  5.9   0.6USHUAIA AERO              
  16052025 22.3  -2.6USPALLATA                 
  16052025 25.5    19VENADO TUERTO AERO        
  16052025 21.2   9.4VICTORICA                 
  16052025 21.8   3.6VIEDMA AERO               
  16052025 27.5    20VILLA DE MARIA DEL RIO S  
  16052025 26.7    19VILLA DOLORES AERO        
  16052025 20.4  17.2VILLA GESELL AERO         
  16052025 24.5  15.3VILLA REYNOLDS AERO       
  15052025 22.7  17.7AEROPARQUE AERO           
  15052025 18.6  12.3AZUL AERO                 
  15052025 23.7   9.4BAHIA BLANCA AERO         
  15052025 12.1     7BARILOCHE AERO            
  15052025-15.5 ###  BASE BELGRANO II          
  15052025 -2.8  -7.1BASE CARLINI (EX JUBANY)  
  15052025-11.5 ###  BASE ESPERANZA            
  15052025-16.9 ###  BASE MARAMBIO             
  15052025  2.6    -1BASE ORCADAS              
  15052025 -0.8    -6BASE SAN MARTIN           
  15052025 20.5  11.8BENITO JUAREZ             
  15052025 22.7    15BERNARDO DE IRIGOYEN AER  
  15052025 19.1  15.5BOLIVAR AERO              
  15052025 23.6  19.8BUENOS AIRES OBSERVATORI  
  15052025 23.8  15.8CAMPO DE MAYO AERO        
  15052025 27.2  14.4CATAMARCA AERO            
  15052025 30.8    21CERES AERO                
  15052025NA       13CHAMICAL AERO             
  15052025 14.5   5.8CHAPELCO AERO             
  15052025 24.2   9.3CHEPES                    
  15052025   23  12.2CHILECITO AERO            
  15052025   17   7.2COMODORO RIVADAVIA AERO   
  15052025   28    20CONCORDIA AERO            
  15052025 28.4  18.1CORDOBA AERO              
  15052025 28.7  18.7CORDOBA OBSERVATORIO      
  15052025 19.5  12.4CORONEL SUAREZ AERO       
  15052025 28.6  19.6CORRIENTES AERO           
  15052025 20.7  15.1DOLORES AERO              
  15052025   17  11.5EL BOLSON AERO            
  15052025 10.4  -0.5EL CALAFATE AERO          
  15052025   24  16.4EL PALOMAR AERO           
  15052025NA     18.3ESCUELA DE AVIACION MILI  
  15052025 15.2   7.5ESQUEL AERO               
  15052025 24.6  17.8EZEIZA AERO               
  15052025 30.5  18.1FORMOSA AERO              
  15052025   22    16GENERAL PICO AERO         
  15052025   11   4.5GOBERNADOR GREGORES AERO  
  15052025 29.1  18.6GUALEGUAYCHU AERO         
  15052025   28  17.5IGUAZU AERO               
  15052025   29    18ITUZAINGO                 
  15052025   20     4JACHAL                    
  15052025 25.3  17.5JUJUY AERO                
  15052025 25.5  14.5JUJUY U N                 
  15052025 21.1  17.5JUNIN AERO                
  15052025 23.7  14.4LA PLATA AERO             
  15052025   22  -0.1LA QUIACA OBSERVATORIO    
  15052025 26.3  12.2LA RIOJA AERO             
  15052025 26.4  18.3LABOULAYE AERO            
  15052025 21.5    16LAS FLORES                
  15052025   31  21.8LAS LOMITAS               
  15052025 22.3   6.6MALARGUE AERO             
  15052025 12.7    -1MAQUINCHAO                
  15052025 23.6   8.2MAR DEL PLATA AERO        
  15052025 26.3    20MARCOS JUAREZ AERO        
  15052025NA       17MARIANO MORENO AERO       
  15052025 25.2   9.8MENDOZA AERO              
  15052025NA     10.4MENDOZA OBSERVATORIO      
